round,A_leaves,B_plants,C_algae,D_compost,E_soil,F_effluent,G_sewage,H_groundwater
round01,0.043,0.038,0.069,0.045,0.138,0.459,0.069,0.14
round02,0.048,0.132,0.212,0.129,0.134,0.126,0.073,0.146
round03,0.022,0.398,0.063,0.17,0.077,0.129,0.042,0.098
round04,0.045,0.073,0.21,0.079,0.181,0.238,0.07,0.104
round05,0.04,0.074,0.163,0.092,0.153,0.32,0.039,0.118
round06,0.04,0.051,0.12,0.062,0.159,0.445,0.049,0.074
round07,0.047,0.034,0.108,0.038,0.185,0.451,0.039,0.098
round08,0.109,0.028,0.106,0.034,0.149,0.389,0.037,0.149
round09,0.043,0.07,0.07,0.064,0.139,0.466,0.042,0.106
round10,0.055,0.029,0.103,0.036,0.15,0.433,0.062,0.132
round11,0.053,0.034,0.111,0.038,0.136,0.445,0.069,0.115
round12,0.134,0.029,0.083,0.029,0.127,0.346,0.042,0.211
round13,0.05,0.032,0.071,0.049,0.13,0.515,0.046,0.107
round14,0.07,0.046,0.223,0.097,0.14,0.118,0.118,0.187
