month,y2000,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017,y2018,y2019
Jan,2.013,7.405,3.838,1.8,1.644,0.086,0.035,3.592,0.738,3.861,4.684,6.525,4.694,3.232,4.091,3.178,1.672,1.892,5.352,3.972
Feb,1.963,9.087,11.021,2.36,4.073,0.007,0.065,3.427,6.194,5.921,4.674,6.856,6.474,2.397,5.798,4.068,1.762,3.512,8.907,3.777
Mar,4.536,0.491,10.959,1.956,0.867,5.52,0.07,1.798,9.18,4.122,1.922,4.043,7.712,2.896,4.781,4.521,1.311,4.164,4.46,5.145
Apr,1.714,10.71,3.842,2.088,0.892,12.36,0.024,1.573,6.371,3.801,1.524,3.708,2.732,4.056,2.97,2.966,0.889,3.048,3.832,3.919
May,11.022,0.088,2.648,0.358,0.062,1.98,0.033,0.616,2.58,2.883,1.1,1.299,2.906,3.671,2.156,2.582,1.309,3.606,2.27,2.642
Jun,3.004,7.53,2.412,1.866,0.274,0.09,0.002,1.323,1.271,1.073,0.895,1.514,3.168,2.505,2.189,1.874,1.365,1.528,3.329,2.53
Jul,0.112,0.097,2.143,0.436,0.063,0.07,0.016,0.85,0.799,0.891,0.506,1.272,0.674,1.071,1.911,0.953,1.072,1.711,2.853,1.928
Aug,2.572,0.055,1.846,0.372,2.985,0.006,0.018,0.325,0.603,0.585,0.732,0.504,0.768,1.353,0.584,1.283,1.669,2.362,2.788,1.575
Sep,1.09,2.212,0.246,0.276,1.075,0,0.013,0.242,0.812,0.499,0.454,0.862,0.316,0.755,0.934,1.428,1.076,0.858,2.516,1.138
Oct,2.829,2.112,1.678,1.434,1.99,0.107,0.355,0.331,1.323,1.24,0.889,1.534,0.608,1.146,0.857,1.064,0.807,1.926,2.397,1.075
Nov,4.891,1.675,1,1.542,1.13,0.007,0.014,0.426,1.596,1.587,1.862,1.06,1.681,1.308,1.29,1.801,1.577,2.229,2.488,2.714
Dec,6.361,10.476,2.192,1.538,0.104,0.022,1.109,0.455,1.882,2.16,3.617,1.191,1.676,2.305,2.074,1.234,1.738,3.507,2.556,2.998
