BOD,COD,SS,T-N,T-P,TOC,NH3-N,PO4-P,Chl-a,Rain,Flow
2.5,5,6.4,6.382,0.115,4.5,3.178,0.055,7.1,47.2,20.63
4.3,6.5,6.7,7.327,0.11,5.3,4.068,0.029,27.9,23.9,18.073
6.9,10,13.4,7.658,0.147,7,4.521,0.017,99.8,36.5,12.371
5.6,8.9,12.5,5.658,0.162,6.5,2.966,0.049,56,145.5,22.021
6.3,8.4,11.5,5.195,0.14,6.2,2.582,0.027,56.3,48.6,19.311
5.3,8.3,13.2,4.456,0.126,6.3,1.874,0.025,44.6,96.1,19.118
4.2,8.3,9.6,3.352,0.137,5.9,0.953,0.041,57,164.3,38.434
4.3,7.6,10.6,4.168,0.19,5.8,1.283,0.063,60,148.9,21.543
4.4,7.1,8.7,4.487,0.153,5.2,1.428,0.049,38.1,66.6,19.761
4.3,7.1,9.4,4.514,0.118,5.9,1.064,0.039,38.8,90.9,14.647
4.2,6.6,5.9,5.011,0.202,5.3,1.801,0.093,23,121.9,21.203
2.3,5.2,3.3,4.916,0.169,2.6,1.234,0.089,7.5,59.2,23.383
2.6,5.4,5.1,6.783,0.124,5.3,1.672,0.036,28.5,49.9,15.677
3.5,5.8,8.6,5.428,0.154,5.5,1.762,0.072,20.3,45.2,23.339
4.8,7.4,19.5,4.855,0.176,6.1,1.311,0.046,46.4,55.2,26.807
5.4,7.9,12.8,3.833,0.137,5.9,0.889,0.025,64.3,185,29.265
4.5,7.6,10.1,4.087,0.14,6,1.309,0.045,65.8,104.5,26.044
4,7.8,7,4.023,0.146,7,1.365,0.068,42.4,116.1,24.42
3.9,6.9,10.7,3.277,0.166,6.2,1.072,0.085,36.7,301.4,59.187
4.5,8.6,9.7,3.845,0.204,7.3,1.669,0.117,61,81,22.217
4.1,7,9.1,3.613,0.152,5.7,1.076,0.077,49.5,251.3,36.609
3,5.9,11.8,3.153,0.192,4.6,0.807,0.126,8.4,216.7,42.963
3.8,6.6,8.7,5.604,0.163,5.4,1.577,0.061,48.2,31.5,16.251
4.1,7.3,10,6.097,0.122,6.1,1.738,0.023,46.5,44.9,15.293
4,7.2,9,6.447,0.114,5.7,1.892,0.019,42.9,11.7,12.284
5.5,9.1,14.7,7.673,0.154,7.8,3.512,0.02,69.3,41.9,16.996
6.8,12.4,16,8.267,0.121,8.8,4.164,0.018,101.4,7.8,4.914
7.3,11.7,9.9,6.152,0.159,8.7,3.048,0.044,34.2,8.9,13.412
5.9,12.6,11,7.44,0.133,9,3.606,0.038,35.2,28.1,9.681
6.9,14.1,13.7,4.55,0.106,10.3,1.528,0.006,55.3,42.1,23.248
3.9,9.1,10.3,3.847,0.176,7.4,1.711,0.101,20.5,211.7,24.309
3.8,8.8,13.7,4.244,0.181,6.8,2.362,0.104,13.9,273.8,94.799
3.7,7.9,10.5,3.163,0.105,5.9,0.858,0.039,38.9,108.8,47.595
4.9,8.3,10.1,5.166,0.091,6.6,1.926,0.031,48.9,85.4,17.424
5.3,9.8,13.7,6.34,0.087,7.4,2.229,0.008,48.1,2.1,15.681
5.4,9.2,17.3,7.16,0.117,7.6,3.507,0.007,40.7,28.5,25.078
6.4,11.6,13,8.883,0.125,8.6,5.352,0.013,56.5,38.8,7.29
6.1,11.8,14.1,11.563,0.177,8.9,8.907,0.023,70,22,10.175
6,11.1,25.3,7.031,0.199,8.7,4.46,0.034,41.9,115.8,38.267
5.7,10.9,47.7,6.849,0.203,8.2,3.832,0.043,41.4,127.4,43.437
6.2,10.7,36.6,4.675,0.183,8.1,2.27,0.048,47.7,85.4,38.195
6.6,11.6,24.4,5.959,0.128,8.9,3.329,0.026,50,222.4,33.815
7,12.5,43.6,5.545,0.214,9,2.853,0.096,70.5,84.5,68.392
6.7,12.9,23.2,5.043,0.227,8.9,2.788,0.09,80.1,397.1,60.961
4.8,8.7,10.3,4.876,0.19,6.7,2.516,0.108,28.5,129.7,17.677
4.9,7.9,9.5,4.942,0.158,7.4,2.397,0.07,33.8,125.2,12.864
5.1,9.7,10.6,5.688,0.209,8.6,2.488,0.066,56.9,47.2,8.473
4,8.4,9.5,6.668,0.14,8.1,2.556,0.038,62.2,32.4,12.747
4.7,9,10.1,9.198,0.154,8,3.972,0.024,42,16.4,6.433
6.6,14.1,19.1,7.597,0.195,10.5,3.777,0.018,115.2,37,7.281
6,12.5,12.2,8.271,0.194,9,5.145,0.027,66.7,33.9,8.799
6,12.9,29.8,6.569,0.358,9.1,3.919,0.098,44.2,84.7,18.457
4.8,10.3,13.3,5.09,0.197,7.7,2.642,0.045,49.6,78.8,16.081
6.4,13.5,14.3,4.433,0.2,9.2,2.53,0.037,63.8,158,14.614
4.1,10.2,14.9,4.12,0.163,9.3,1.928,0.079,29.9,242.2,34.56
4,10,19.7,3.918,0.181,8.6,1.575,0.063,52.4,64.8,51.418
3.8,7.1,8.8,3.411,0.129,4.9,1.138,0.073,28.4,165.8,42.173
3.9,6.5,10.3,4.156,0.063,5.2,1.075,0.016,46.8,149.9,24.889
5,8.5,8.7,6.361,0.086,7.7,2.714,0.053,52,22.8,19.908
6.1,10.5,14,7.155,0.116,8.5,2.998,0.032,70.3,31.6,12.57
