Á¶»ç¿ù,WT,pH,DO,BOD,COD,SS,EC,TN,TP,TOC
1,3.3 ,8.4 ,15.3 ,2.1 ,5.5 ,7.1 ,346 ,3.786 ,0.059 ,3.3 
2,4.9 ,8.4 ,15.5 ,2.7 ,5.9 ,10.0 ,351 ,3.883 ,0.059 ,3.5 
3,9.7 ,8.6 ,14.0 ,3.2 ,6.8 ,12.7 ,377 ,4.018 ,0.061 ,4.1 
4,15.2 ,8.2 ,11.1 ,2.9 ,5.9 ,11.9 ,302 ,3.312 ,0.070 ,3.6 
5,21.4 ,8.5 ,10.3 ,2.7 ,5.6 ,10.1 ,240 ,2.517 ,0.054 ,3.4 
6,24.7 ,8.4 ,9.2 ,2.7 ,6.3 ,7.5 ,292 ,2.215 ,0.056 ,4.0 
7,27.4 ,8.4 ,8.9 ,3.0 ,7.3 ,14.5 ,230 ,2.320 ,0.086 ,4.5 
8,28.3 ,8.1 ,8.0 ,2.7 ,7.2 ,16.6 ,203 ,2.216 ,0.104 ,4.5 
9,25.3 ,8.1 ,9.4 ,2.1 ,7.0 ,17.1 ,215 ,2.302 ,0.083 ,4.5 
10,20.5 ,8.4 ,10.5 ,2.2 ,6.4 ,11.0 ,243 ,2.264 ,0.065 ,4.0 
11,13.5 ,8.2 ,11.2 ,1.7 ,5.8 ,10.6 ,315 ,2.714 ,0.052 ,3.6 
12,6.5 ,8.1 ,12.7 ,1.5 ,5.2 ,6.3 ,330 ,3.153 ,0.036 ,3.2 
